image_path,mask_path,class,class_id,num_masks,use_phase1,split,fold
benign\benign (269).png,benign\benign (269)_mask.png,benign,0,1,1,train,1
benign\benign (170).png,benign\benign (170)_mask.png,benign,0,1,1,train,1
benign\benign (245).png,benign\benign (245)_mask.png,benign,0,1,1,train,1
benign\benign (153).png,benign\benign (153)_mask.png,benign,0,1,1,train,1
malignant\malignant (195).png,malignant\malignant (195)_mask.png,malignant,1,1,1,train,1
benign\benign (88).png,benign\benign (88)_mask.png,benign,0,1,1,train,1
malignant\malignant (175).png,malignant\malignant (175)_mask.png,malignant,1,1,1,train,1
benign\benign (414).png,benign\benign (414)_mask.png,benign,0,1,1,train,1
malignant\malignant (133).png,malignant\malignant (133)_mask.png,malignant,1,1,1,train,1
malignant\malignant (64).png,malignant\malignant (64)_mask.png,malignant,1,1,1,train,1
benign\benign (101).png,benign\benign (101)_mask.png,benign,0,1,1,train,1
benign\benign (405).png,benign\benign (405)_mask.png,benign,0,1,1,train,1
benign\benign (305).png,benign\benign (305)_mask.png,benign,0,1,1,train,1
benign\benign (418).png,benign\benign (418)_mask.png,benign,0,1,1,train,1
malignant\malignant (179).png,malignant\malignant (179)_mask.png,malignant,1,1,1,train,1
benign\benign (133).png,benign\benign (133)_mask.png,benign,0,1,1,train,1
malignant\malignant (140).png,malignant\malignant (140)_mask.png,malignant,1,1,1,train,1
benign\benign (206).png,benign\benign (206)_mask.png,benign,0,1,1,train,1
benign\benign (407).png,benign\benign (407)_mask.png,benign,0,1,1,train,1
malignant\malignant (13).png,malignant\malignant (13)_mask.png,malignant,1,1,1,train,1
benign\benign (31).png,benign\benign (31)_mask.png,benign,0,1,1,train,1
malignant\malignant (138).png,malignant\malignant (138)_mask.png,malignant,1,1,1,train,1
benign\benign (211).png,benign\benign (211)_mask.png,benign,0,1,1,train,1
malignant\malignant (106).png,malignant\malignant (106)_mask.png,malignant,1,1,1,train,1
benign\benign (250).png,benign\benign (250)_mask.png,benign,0,1,1,train,1
malignant\malignant (126).png,malignant\malignant (126)_mask.png,malignant,1,1,1,train,1
benign\benign (104).png,benign\benign (104)_mask.png,benign,0,1,1,train,1
benign\benign (213).png,benign\benign (213)_mask.png,benign,0,1,1,train,1
benign\benign (109).png,benign\benign (109)_mask.png,benign,0,1,1,train,1
benign\benign (23).png,benign\benign (23)_mask.png,benign,0,1,1,train,1
benign\benign (215).png,benign\benign (215)_mask.png,benign,0,1,1,train,1
malignant\malignant (42).png,malignant\malignant (42)_mask.png,malignant,1,1,1,train,1
malignant\malignant (162).png,malignant\malignant (162)_mask.png,malignant,1,1,1,train,1
benign\benign (340).png,benign\benign (340)_mask.png,benign,0,1,1,train,1
malignant\malignant (43).png,malignant\malignant (43)_mask.png,malignant,1,1,1,train,1
malignant\malignant (189).png,malignant\malignant (189)_mask.png,malignant,1,1,1,train,1
benign\benign (128).png,benign\benign (128)_mask.png,benign,0,1,1,train,1
malignant\malignant (158).png,malignant\malignant (158)_mask.png,malignant,1,1,1,train,1
benign\benign (382).png,benign\benign (382)_mask.png,benign,0,1,1,train,1
benign\benign (74).png,benign\benign (74)_mask.png,benign,0,1,1,train,1
benign\benign (397).png,benign\benign (397)_mask.png,benign,0,1,1,train,1
benign\benign (288).png,benign\benign (288)_mask.png,benign,0,1,1,train,1
malignant\malignant (87).png,malignant\malignant (87)_mask.png,malignant,1,1,1,train,1
malignant\malignant (134).png,malignant\malignant (134)_mask.png,malignant,1,1,1,train,1
benign\benign (322).png,benign\benign (322)_mask.png,benign,0,1,1,train,1
benign\benign (148).png,benign\benign (148)_mask.png,benign,0,1,1,train,1
malignant\malignant (155).png,malignant\malignant (155)_mask.png,malignant,1,1,1,train,1
benign\benign (264).png,benign\benign (264)_mask.png,benign,0,1,1,train,1
malignant\malignant (75).png,malignant\malignant (75)_mask.png,malignant,1,1,1,train,1
benign\benign (254).png,benign\benign (254)_mask.png,benign,0,1,1,train,1
malignant\malignant (70).png,malignant\malignant (70)_mask.png,malignant,1,1,1,train,1
benign\benign (52).png,benign\benign (52)_mask.png,benign,0,1,1,train,1
malignant\malignant (20).png,malignant\malignant (20)_mask.png,malignant,1,1,1,train,1
benign\benign (363).png,benign\benign (363)_mask.png,benign,0,1,1,train,1
benign\benign (223).png,benign\benign (223)_mask.png,benign,0,1,1,train,1
malignant\malignant (93).png,malignant\malignant (93)_mask.png,malignant,1,1,1,train,1
benign\benign (408).png,benign\benign (408)_mask.png,benign,0,1,1,train,1
benign\benign (11).png,benign\benign (11)_mask.png,benign,0,1,1,train,1
benign\benign (142).png,benign\benign (142)_mask.png,benign,0,1,1,train,1
malignant\malignant (208).png,malignant\malignant (208)_mask.png,malignant,1,1,1,train,1
benign\benign (350).png,benign\benign (350)_mask.png,benign,0,1,1,train,1
benign\benign (73).png,benign\benign (73)_mask.png,benign,0,1,1,train,1
benign\benign (392).png,benign\benign (392)_mask.png,benign,0,1,1,train,1
benign\benign (85).png,benign\benign (85)_mask.png,benign,0,1,1,train,1
benign\benign (399).png,benign\benign (399)_mask.png,benign,0,1,1,train,1
malignant\malignant (97).png,malignant\malignant (97)_mask.png,malignant,1,1,1,train,1
benign\benign (204).png,benign\benign (204)_mask.png,benign,0,1,1,train,1
malignant\malignant (12).png,malignant\malignant (12)_mask.png,malignant,1,1,1,train,1
malignant\malignant (139).png,malignant\malignant (139)_mask.png,malignant,1,1,1,train,1
benign\benign (351).png,benign\benign (351)_mask.png,benign,0,1,1,train,1
benign\benign (263).png,benign\benign (263)_mask.png,benign,0,1,1,train,1
benign\benign (326).png,benign\benign (326)_mask.png,benign,0,1,1,train,1
malignant\malignant (169).png,malignant\malignant (169)_mask.png,malignant,1,1,1,train,1
benign\benign (297).png,benign\benign (297)_mask.png,benign,0,1,1,train,1
malignant\malignant (34).png,malignant\malignant (34)_mask.png,malignant,1,1,1,train,1
benign\benign (292).png,benign\benign (292)_mask.png,benign,0,1,1,train,1
benign\benign (243).png,benign\benign (243)_mask.png,benign,0,1,1,train,1
malignant\malignant (91).png,malignant\malignant (91)_mask.png,malignant,1,1,1,train,1
benign\benign (33).png,benign\benign (33)_mask.png,benign,0,1,1,train,1
benign\benign (308).png,benign\benign (308)_mask.png,benign,0,1,1,train,1
benign\benign (272).png,benign\benign (272)_mask.png,benign,0,1,1,train,1
malignant\malignant (153).png,malignant\malignant (153)_mask.png,malignant,1,1,1,train,1
benign\benign (232).png,benign\benign (232)_mask.png,benign,0,1,1,train,1
benign\benign (161).png,benign\benign (161)_mask.png,benign,0,1,1,train,1
malignant\malignant (39).png,malignant\malignant (39)_mask.png,malignant,1,1,1,train,1
benign\benign (140).png,benign\benign (140)_mask.png,benign,0,1,1,train,1
benign\benign (194).png,benign\benign (194)_mask.png,benign,0,1,1,train,1
benign\benign (208).png,benign\benign (208)_mask.png,benign,0,1,1,train,1
benign\benign (329).png,benign\benign (329)_mask.png,benign,0,1,1,train,1
benign\benign (37).png,benign\benign (37)_mask.png,benign,0,1,1,train,1
benign\benign (246).png,benign\benign (246)_mask.png,benign,0,1,1,train,1
benign\benign (125).png,benign\benign (125)_mask.png,benign,0,1,1,train,1
benign\benign (296).png,benign\benign (296)_mask.png,benign,0,1,1,train,1
malignant\malignant (94).png,malignant\malignant (94)_mask.png,malignant,1,1,1,train,1
benign\benign (367).png,benign\benign (367)_mask.png,benign,0,1,1,train,1
malignant\malignant (109).png,malignant\malignant (109)_mask.png,malignant,1,1,1,train,1
benign\benign (251).png,benign\benign (251)_mask.png,benign,0,1,1,train,1
benign\benign (7).png,benign\benign (7)_mask.png,benign,0,1,1,train,1
benign\benign (393).png,benign\benign (393)_mask.png,benign,0,1,1,train,1
benign\benign (112).png,benign\benign (112)_mask.png,benign,0,1,1,train,1
benign\benign (255).png,benign\benign (255)_mask.png,benign,0,1,1,train,1
malignant\malignant (66).png,malignant\malignant (66)_mask.png,malignant,1,1,1,train,1
benign\benign (156).png,benign\benign (156)_mask.png,benign,0,1,1,train,1
malignant\malignant (157).png,malignant\malignant (157)_mask.png,malignant,1,1,1,train,1
benign\benign (164).png,benign\benign (164)_mask.png,benign,0,1,1,train,1
malignant\malignant (22).png,malignant\malignant (22)_mask.png,malignant,1,1,1,train,1
benign\benign (224).png,benign\benign (224)_mask.png,benign,0,1,1,train,1
benign\benign (383).png,benign\benign (383)_mask.png,benign,0,1,1,train,1
benign\benign (176).png,benign\benign (176)_mask.png,benign,0,1,1,train,1
