image_path,mask_path,class,class_id,num_masks,use_phase1,fold,split
benign\benign (10).png,benign\benign (10)_mask.png,benign,0,1,1,2,train
benign\benign (102).png,benign\benign (102)_mask.png,benign,0,1,1,2,train
benign\benign (103).png,benign\benign (103)_mask.png,benign,0,1,1,2,train
benign\benign (104).png,benign\benign (104)_mask.png,benign,0,1,1,2,train
benign\benign (105).png,benign\benign (105)_mask.png,benign,0,1,1,2,train
benign\benign (106).png,benign\benign (106)_mask.png,benign,0,1,1,2,train
benign\benign (107).png,benign\benign (107)_mask.png,benign,0,1,1,2,train
benign\benign (108).png,benign\benign (108)_mask.png,benign,0,1,1,2,train
benign\benign (109).png,benign\benign (109)_mask.png,benign,0,1,1,2,train
benign\benign (11).png,benign\benign (11)_mask.png,benign,0,1,1,2,train
benign\benign (110).png,benign\benign (110)_mask.png,benign,0,1,1,2,train
benign\benign (111).png,benign\benign (111)_mask.png,benign,0,1,1,2,train
benign\benign (112).png,benign\benign (112)_mask.png,benign,0,1,1,2,train
benign\benign (113).png,benign\benign (113)_mask.png,benign,0,1,1,2,train
benign\benign (114).png,benign\benign (114)_mask.png,benign,0,1,1,2,train
benign\benign (12).png,benign\benign (12)_mask.png,benign,0,1,1,2,train
benign\benign (121).png,benign\benign (121)_mask.png,benign,0,1,1,2,train
benign\benign (122).png,benign\benign (122)_mask.png,benign,0,1,1,2,train
benign\benign (123).png,benign\benign (123)_mask.png,benign,0,1,1,2,train
benign\benign (124).png,benign\benign (124)_mask.png,benign,0,1,1,2,train
benign\benign (126).png,benign\benign (126)_mask.png,benign,0,1,1,2,train
benign\benign (127).png,benign\benign (127)_mask.png,benign,0,1,1,2,train
benign\benign (128).png,benign\benign (128)_mask.png,benign,0,1,1,2,train
benign\benign (130).png,benign\benign (130)_mask.png,benign,0,1,1,2,train
benign\benign (133).png,benign\benign (133)_mask.png,benign,0,1,1,2,train
benign\benign (136).png,benign\benign (136)_mask.png,benign,0,1,1,2,train
benign\benign (137).png,benign\benign (137)_mask.png,benign,0,1,1,2,train
benign\benign (138).png,benign\benign (138)_mask.png,benign,0,1,1,2,train
benign\benign (139).png,benign\benign (139)_mask.png,benign,0,1,1,2,train
benign\benign (14).png,benign\benign (14)_mask.png,benign,0,1,1,2,train
benign\benign (140).png,benign\benign (140)_mask.png,benign,0,1,1,2,train
benign\benign (142).png,benign\benign (142)_mask.png,benign,0,1,1,2,train
benign\benign (143).png,benign\benign (143)_mask.png,benign,0,1,1,2,train
benign\benign (144).png,benign\benign (144)_mask.png,benign,0,1,1,2,train
benign\benign (145).png,benign\benign (145)_mask.png,benign,0,1,1,2,train
benign\benign (146).png,benign\benign (146)_mask.png,benign,0,1,1,2,train
benign\benign (147).png,benign\benign (147)_mask.png,benign,0,1,1,2,train
benign\benign (148).png,benign\benign (148)_mask.png,benign,0,1,1,2,train
benign\benign (149).png,benign\benign (149)_mask.png,benign,0,1,1,2,train
benign\benign (150).png,benign\benign (150)_mask.png,benign,0,1,1,2,train
benign\benign (152).png,benign\benign (152)_mask.png,benign,0,1,1,2,train
benign\benign (153).png,benign\benign (153)_mask.png,benign,0,1,1,2,train
benign\benign (154).png,benign\benign (154)_mask.png,benign,0,1,1,2,train
benign\benign (155).png,benign\benign (155)_mask.png,benign,0,1,1,2,train
benign\benign (156).png,benign\benign (156)_mask.png,benign,0,1,1,2,train
benign\benign (157).png,benign\benign (157)_mask.png,benign,0,1,1,2,train
benign\benign (159).png,benign\benign (159)_mask.png,benign,0,1,1,2,train
benign\benign (160).png,benign\benign (160)_mask.png,benign,0,1,1,2,train
benign\benign (162).png,benign\benign (162)_mask.png,benign,0,1,1,2,train
benign\benign (164).png,benign\benign (164)_mask.png,benign,0,1,1,2,train
benign\benign (165).png,benign\benign (165)_mask.png,benign,0,1,1,2,train
benign\benign (166).png,benign\benign (166)_mask.png,benign,0,1,1,2,train
benign\benign (168).png,benign\benign (168)_mask.png,benign,0,1,1,2,train
benign\benign (169).png,benign\benign (169)_mask.png,benign,0,1,1,2,train
benign\benign (17).png,benign\benign (17)_mask.png,benign,0,1,1,2,train
benign\benign (170).png,benign\benign (170)_mask.png,benign,0,1,1,2,train
benign\benign (171).png,benign\benign (171)_mask.png,benign,0,1,1,2,train
benign\benign (172).png,benign\benign (172)_mask.png,benign,0,1,1,2,train
benign\benign (174).png,benign\benign (174)_mask.png,benign,0,1,1,2,train
benign\benign (175).png,benign\benign (175)_mask.png,benign,0,1,1,2,train
benign\benign (176).png,benign\benign (176)_mask.png,benign,0,1,1,2,train
benign\benign (177).png,benign\benign (177)_mask.png,benign,0,1,1,2,train
benign\benign (178).png,benign\benign (178)_mask.png,benign,0,1,1,2,train
benign\benign (179).png,benign\benign (179)_mask.png,benign,0,1,1,2,train
benign\benign (18).png,benign\benign (18)_mask.png,benign,0,1,1,2,train
benign\benign (180).png,benign\benign (180)_mask.png,benign,0,1,1,2,train
benign\benign (182).png,benign\benign (182)_mask.png,benign,0,1,1,2,train
benign\benign (183).png,benign\benign (183)_mask.png,benign,0,1,1,2,train
benign\benign (184).png,benign\benign (184)_mask.png,benign,0,1,1,2,train
benign\benign (189).png,benign\benign (189)_mask.png,benign,0,1,1,2,train
benign\benign (19).png,benign\benign (19)_mask.png,benign,0,1,1,2,train
benign\benign (190).png,benign\benign (190)_mask.png,benign,0,1,1,2,train
benign\benign (191).png,benign\benign (191)_mask.png,benign,0,1,1,2,train
benign\benign (192).png,benign\benign (192)_mask.png,benign,0,1,1,2,train
benign\benign (194).png,benign\benign (194)_mask.png,benign,0,1,1,2,train
benign\benign (196).png,benign\benign (196)_mask.png,benign,0,1,1,2,train
benign\benign (198).png,benign\benign (198)_mask.png,benign,0,1,1,2,train
benign\benign (199).png,benign\benign (199)_mask.png,benign,0,1,1,2,train
benign\benign (2).png,benign\benign (2)_mask.png,benign,0,1,1,2,train
benign\benign (20).png,benign\benign (20)_mask.png,benign,0,1,1,2,train
benign\benign (200).png,benign\benign (200)_mask.png,benign,0,1,1,2,train
benign\benign (203).png,benign\benign (203)_mask.png,benign,0,1,1,2,train
benign\benign (204).png,benign\benign (204)_mask.png,benign,0,1,1,2,train
benign\benign (205).png,benign\benign (205)_mask.png,benign,0,1,1,2,train
benign\benign (206).png,benign\benign (206)_mask.png,benign,0,1,1,2,train
benign\benign (207).png,benign\benign (207)_mask.png,benign,0,1,1,2,train
benign\benign (208).png,benign\benign (208)_mask.png,benign,0,1,1,2,train
benign\benign (209).png,benign\benign (209)_mask.png,benign,0,1,1,2,train
benign\benign (21).png,benign\benign (21)_mask.png,benign,0,1,1,2,train
benign\benign (210).png,benign\benign (210)_mask.png,benign,0,1,1,2,train
benign\benign (211).png,benign\benign (211)_mask.png,benign,0,1,1,2,train
benign\benign (213).png,benign\benign (213)_mask.png,benign,0,1,1,2,train
benign\benign (214).png,benign\benign (214)_mask.png,benign,0,1,1,2,train
benign\benign (215).png,benign\benign (215)_mask.png,benign,0,1,1,2,train
benign\benign (216).png,benign\benign (216)_mask.png,benign,0,1,1,2,train
benign\benign (217).png,benign\benign (217)_mask.png,benign,0,1,1,2,train
benign\benign (219).png,benign\benign (219)_mask.png,benign,0,1,1,2,train
benign\benign (22).png,benign\benign (22)_mask.png,benign,0,1,1,2,train
benign\benign (220).png,benign\benign (220)_mask.png,benign,0,1,1,2,train
benign\benign (221).png,benign\benign (221)_mask.png,benign,0,1,1,2,train
benign\benign (225).png,benign\benign (225)_mask.png,benign,0,1,1,2,train
benign\benign (226).png,benign\benign (226)_mask.png,benign,0,1,1,2,train
benign\benign (229).png,benign\benign (229)_mask.png,benign,0,1,1,2,train
benign\benign (23).png,benign\benign (23)_mask.png,benign,0,1,1,2,train
benign\benign (234).png,benign\benign (234)_mask.png,benign,0,1,1,2,train
benign\benign (237).png,benign\benign (237)_mask.png,benign,0,1,1,2,train
benign\benign (239).png,benign\benign (239)_mask.png,benign,0,1,1,2,train
benign\benign (242).png,benign\benign (242)_mask.png,benign,0,1,1,2,train
benign\benign (243).png,benign\benign (243)_mask.png,benign,0,1,1,2,train
benign\benign (244).png,benign\benign (244)_mask.png,benign,0,1,1,2,train
benign\benign (245).png,benign\benign (245)_mask.png,benign,0,1,1,2,train
benign\benign (246).png,benign\benign (246)_mask.png,benign,0,1,1,2,train
benign\benign (247).png,benign\benign (247)_mask.png,benign,0,1,1,2,train
benign\benign (248).png,benign\benign (248)_mask.png,benign,0,1,1,2,train
benign\benign (249).png,benign\benign (249)_mask.png,benign,0,1,1,2,train
benign\benign (250).png,benign\benign (250)_mask.png,benign,0,1,1,2,train
benign\benign (253).png,benign\benign (253)_mask.png,benign,0,1,1,2,train
benign\benign (254).png,benign\benign (254)_mask.png,benign,0,1,1,2,train
benign\benign (255).png,benign\benign (255)_mask.png,benign,0,1,1,2,train
benign\benign (256).png,benign\benign (256)_mask.png,benign,0,1,1,2,train
benign\benign (258).png,benign\benign (258)_mask.png,benign,0,1,1,2,train
benign\benign (259).png,benign\benign (259)_mask.png,benign,0,1,1,2,train
benign\benign (26).png,benign\benign (26)_mask.png,benign,0,1,1,2,train
benign\benign (262).png,benign\benign (262)_mask.png,benign,0,1,1,2,train
benign\benign (264).png,benign\benign (264)_mask.png,benign,0,1,1,2,train
benign\benign (265).png,benign\benign (265)_mask.png,benign,0,1,1,2,train
benign\benign (266).png,benign\benign (266)_mask.png,benign,0,1,1,2,train
benign\benign (267).png,benign\benign (267)_mask.png,benign,0,1,1,2,train
benign\benign (269).png,benign\benign (269)_mask.png,benign,0,1,1,2,train
benign\benign (271).png,benign\benign (271)_mask.png,benign,0,1,1,2,train
benign\benign (272).png,benign\benign (272)_mask.png,benign,0,1,1,2,train
benign\benign (273).png,benign\benign (273)_mask.png,benign,0,1,1,2,train
benign\benign (278).png,benign\benign (278)_mask.png,benign,0,1,1,2,train
benign\benign (279).png,benign\benign (279)_mask.png,benign,0,1,1,2,train
benign\benign (28).png,benign\benign (28)_mask.png,benign,0,1,1,2,train
benign\benign (281).png,benign\benign (281)_mask.png,benign,0,1,1,2,train
benign\benign (282).png,benign\benign (282)_mask.png,benign,0,1,1,2,train
benign\benign (284).png,benign\benign (284)_mask.png,benign,0,1,1,2,train
benign\benign (285).png,benign\benign (285)_mask.png,benign,0,1,1,2,train
benign\benign (286).png,benign\benign (286)_mask.png,benign,0,1,1,2,train
benign\benign (287).png,benign\benign (287)_mask.png,benign,0,1,1,2,train
benign\benign (288).png,benign\benign (288)_mask.png,benign,0,1,1,2,train
benign\benign (289).png,benign\benign (289)_mask.png,benign,0,1,1,2,train
benign\benign (29).png,benign\benign (29)_mask.png,benign,0,1,1,2,train
benign\benign (291).png,benign\benign (291)_mask.png,benign,0,1,1,2,train
benign\benign (295).png,benign\benign (295)_mask.png,benign,0,1,1,2,train
benign\benign (296).png,benign\benign (296)_mask.png,benign,0,1,1,2,train
benign\benign (297).png,benign\benign (297)_mask.png,benign,0,1,1,2,train
benign\benign (3).png,benign\benign (3)_mask.png,benign,0,1,1,2,train
benign\benign (300).png,benign\benign (300)_mask.png,benign,0,1,1,2,train
benign\benign (302).png,benign\benign (302)_mask.png,benign,0,1,1,2,train
benign\benign (303).png,benign\benign (303)_mask.png,benign,0,1,1,2,train
benign\benign (304).png,benign\benign (304)_mask.png,benign,0,1,1,2,train
benign\benign (307).png,benign\benign (307)_mask.png,benign,0,1,1,2,train
benign\benign (308).png,benign\benign (308)_mask.png,benign,0,1,1,2,train
benign\benign (31).png,benign\benign (31)_mask.png,benign,0,1,1,2,train
benign\benign (312).png,benign\benign (312)_mask.png,benign,0,1,1,2,train
benign\benign (313).png,benign\benign (313)_mask.png,benign,0,1,1,2,train
benign\benign (314).png,benign\benign (314)_mask.png,benign,0,1,1,2,train
benign\benign (316).png,benign\benign (316)_mask.png,benign,0,1,1,2,train
benign\benign (317).png,benign\benign (317)_mask.png,benign,0,1,1,2,train
benign\benign (318).png,benign\benign (318)_mask.png,benign,0,1,1,2,train
benign\benign (319).png,benign\benign (319)_mask.png,benign,0,1,1,2,train
benign\benign (321).png,benign\benign (321)_mask.png,benign,0,1,1,2,train
benign\benign (324).png,benign\benign (324)_mask.png,benign,0,1,1,2,train
benign\benign (325).png,benign\benign (325)_mask.png,benign,0,1,1,2,train
benign\benign (326).png,benign\benign (326)_mask.png,benign,0,1,1,2,train
benign\benign (327).png,benign\benign (327)_mask.png,benign,0,1,1,2,train
benign\benign (328).png,benign\benign (328)_mask.png,benign,0,1,1,2,train
benign\benign (329).png,benign\benign (329)_mask.png,benign,0,1,1,2,train
benign\benign (33).png,benign\benign (33)_mask.png,benign,0,1,1,2,train
benign\benign (330).png,benign\benign (330)_mask.png,benign,0,1,1,2,train
benign\benign (332).png,benign\benign (332)_mask.png,benign,0,1,1,2,train
benign\benign (335).png,benign\benign (335)_mask.png,benign,0,1,1,2,train
benign\benign (336).png,benign\benign (336)_mask.png,benign,0,1,1,2,train
benign\benign (339).png,benign\benign (339)_mask.png,benign,0,1,1,2,train
benign\benign (34).png,benign\benign (34)_mask.png,benign,0,1,1,2,train
benign\benign (341).png,benign\benign (341)_mask.png,benign,0,1,1,2,train
benign\benign (342).png,benign\benign (342)_mask.png,benign,0,1,1,2,train
benign\benign (343).png,benign\benign (343)_mask.png,benign,0,1,1,2,train
benign\benign (344).png,benign\benign (344)_mask.png,benign,0,1,1,2,train
benign\benign (345).png,benign\benign (345)_mask.png,benign,0,1,1,2,train
benign\benign (347).png,benign\benign (347)_mask.png,benign,0,1,1,2,train
benign\benign (348).png,benign\benign (348)_mask.png,benign,0,1,1,2,train
benign\benign (349).png,benign\benign (349)_mask.png,benign,0,1,1,2,train
benign\benign (35).png,benign\benign (35)_mask.png,benign,0,1,1,2,train
benign\benign (350).png,benign\benign (350)_mask.png,benign,0,1,1,2,train
benign\benign (351).png,benign\benign (351)_mask.png,benign,0,1,1,2,train
benign\benign (352).png,benign\benign (352)_mask.png,benign,0,1,1,2,train
benign\benign (356).png,benign\benign (356)_mask.png,benign,0,1,1,2,train
benign\benign (357).png,benign\benign (357)_mask.png,benign,0,1,1,2,train
benign\benign (358).png,benign\benign (358)_mask.png,benign,0,1,1,2,train
benign\benign (360).png,benign\benign (360)_mask.png,benign,0,1,1,2,train
