image_path,mask_path,class,class_id,num_masks,use_phase1,split
D:\Dataset_BUSI_with_GT\malignant\malignant (201).png,D:\Dataset_BUSI_with_GT\malignant\malignant (201)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (104).png,D:\Dataset_BUSI_with_GT\benign\benign (104)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (37).png,D:\Dataset_BUSI_with_GT\malignant\malignant (37)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (92).png,D:\Dataset_BUSI_with_GT\malignant\malignant (92)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (7).png,D:\Dataset_BUSI_with_GT\benign\benign (7)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (3).png,D:\Dataset_BUSI_with_GT\malignant\malignant (3)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (70).png,D:\Dataset_BUSI_with_GT\benign\benign (70)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (350).png,D:\Dataset_BUSI_with_GT\benign\benign (350)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (9).png,D:\Dataset_BUSI_with_GT\benign\benign (9)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (105).png,D:\Dataset_BUSI_with_GT\benign\benign (105)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (150).png,D:\Dataset_BUSI_with_GT\benign\benign (150)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (143).png,D:\Dataset_BUSI_with_GT\malignant\malignant (143)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (123).png,D:\Dataset_BUSI_with_GT\benign\benign (123)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (40).png,D:\Dataset_BUSI_with_GT\benign\benign (40)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (170).png,D:\Dataset_BUSI_with_GT\malignant\malignant (170)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (253).png,D:\Dataset_BUSI_with_GT\benign\benign (253)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (29).png,D:\Dataset_BUSI_with_GT\malignant\malignant (29)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (27).png,D:\Dataset_BUSI_with_GT\benign\benign (27)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (22).png,D:\Dataset_BUSI_with_GT\malignant\malignant (22)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (163).png,D:\Dataset_BUSI_with_GT\malignant\malignant (163)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (359).png,D:\Dataset_BUSI_with_GT\benign\benign (359)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (215).png,D:\Dataset_BUSI_with_GT\benign\benign (215)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (186).png,D:\Dataset_BUSI_with_GT\benign\benign (186)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (51).png,D:\Dataset_BUSI_with_GT\malignant\malignant (51)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (31).png,D:\Dataset_BUSI_with_GT\malignant\malignant (31)_mask.png,malignant,1,1,1,train
D:\Dataset_BUSI_with_GT\benign\benign (240).png,D:\Dataset_BUSI_with_GT\benign\benign (240)_mask.png,benign,0,1,1,train
D:\Dataset_BUSI_with_GT\malignant\malignant (94).png,D:\Dataset_BUSI_with_GT\malignant\malignant (94)_mask.png,malignant,1,1,1,train
